Depth,YearBP,uncertainty,
0.360,-56,0,
0.767,-55,1,
1.156,-54,1,
1.701,-53,1,
2.162,-52,1,
2.576,-51,1,
3.109,-50,1,
3.581,-49,1,
4.037,-48,1,
4.444,-47,1,
4.823,-46,1,
5.135,-45,1,
5.581,-44,1,
6.136,-43,1,
6.655,-42,1,
7.111,-41,1,
7.428,-40,1,
7.786,-39,1,
8.238,-38,1,
8.571,-37,1,
8.864,-36,1,
9.293,-35,1,
9.758,-34,1,
10.102,-33,1,
10.464,-32,1,
10.883,-31,1,
11.359,-30,1,
11.733,-29,1,
11.961,-28,1,
12.349,-27,1,
12.681,-26,1,
12.999,-25,1,
13.242,-24,1,
13.561,-23,1,
14.033,-22,1,
14.308,-21,1,
14.680,-20,1,
14.969,-19,1,
15.389,-18,1,
15.692,-17,1,
15.966,-16,1,
16.302,-15,1,
16.661,-14,1,
17.010,-13,1,
17.324,-12,1,
17.558,-11,1,
17.997,-10,1,
18.272,-9,1,
18.574,-8,1,
18.952,-7,1,
19.282,-6,1,
19.527,-5,1,
19.821,-4,1,
20.203,-3,1,
20.524,-2,1,
20.949,-1,1,
21.236,0,1,
21.578,1,1,
21.853,2,1,
22.213,3,1,
22.458,4,1,
22.842,5,1,
23.147,6,1,
23.396,7,1,
23.826,8,1,
24.061,9,1,
24.426,10,1,
24.839,11,1,
25.127,12,1,
25.451,13,1,
25.727,14,1,
26.058,15,1,
26.406,16,1,
26.627,17,1,
27.076,18,1,
27.355,19,1,
27.679,20,1,
28.000,21,1,
28.264,22,1,
28.572,23,1,
28.851,24,1,
29.069,25,1,
29.306,26,1,
29.695,27,1,
29.931,28,1,
30.202,29,1,
30.663,30,1,
30.950,31,1,
31.308,32,1,
31.601,33,1,
31.861,34,1,
32.102,35,1,
32.424,36,1,
32.708,37,1,
33.013,38,1,
33.298,39,1,
33.518,40,1,
33.807,41,1,
34.099,42,1,
34.317,43,1,
34.487,44,1,
34.737,45,1,
35.143,46,1,
35.481,47,1,
35.786,48,1,
36.141,49,1,
36.462,50,1,
36.731,51,1,
37.068,52,1,
37.285,53,1,
37.679,54,1,
37.914,55,1,
38.130,56,1,
38.430,57,1,
38.771,58,1,
39.030,59,1,
39.298,60,1,
39.666,61,1,
39.969,62,1,
40.310,63,1,
40.510,64,1,
40.707,65,1,
40.969,66,1,
41.210,67,1,
41.585,68,1,
41.805,69,1,
42.090,70,1,
42.522,71,1,
42.841,72,1,
43.124,73,1,
43.422,74,1,
43.804,75,1,
44.005,76,1,
44.272,77,1,
44.495,78,1,
44.676,79,1,
44.887,80,1,
45.168,81,1,
45.411,82,1,
45.732,83,1,
45.937,84,1,
46.306,85,1,
46.508,86,1,
46.765,87,1,
46.952,88,1,
47.278,89,1,
47.531,90,1,
47.758,91,1,
47.959,92,1,
48.118,93,1,
48.317,94,1,
48.727,95,1,
48.990,96,1,
49.239,97,1,
49.568,98,1,
49.827,99,1,
50.039,100,1,
50.347,101,1,
50.752,102,1,
50.967,103,1,
51.180,104,1,
51.447,105,1,
51.703,106,1,
51.981,107,1,
52.248,108,1,
52.578,109,1,
52.809,110,1,
53.004,111,1,
53.265,112,1,
53.488,113,1,
53.752,114,1,
54.019,115,1,
54.231,116,1,
54.557,117,1,
54.750,118,1,
55.052,119,1,
55.402,120,1,
55.619,121,1,
55.861,122,1,
56.162,123,1,
56.378,124,1,
56.693,125,1,
57.062,126,1,
57.274,127,1,
57.511,128,1,
57.809,129,1,
58.071,130,1,
58.321,131,1,
